epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,4617.63,1.18341,0.86223,0.01242,0.85067,0.84297,0.89174,0.62526,1.00232,0.92751,0.01828,0.0012862,0.0012862,0.0012862
43,4724.21,1.14071,0.72506,0.01154,0.86697,0.88117,0.93844,0.6674,1.02713,0.73976,0.01987,0.0012562,0.0012562,0.0012562
44,4831.36,1.13266,0.81704,0.01242,0.87875,0.88117,0.94528,0.67806,0.86112,0.67089,0.01384,0.00122596,0.00122596,0.00122596
45,4941.31,1.1308,0.77318,0.01272,0.85575,0.86462,0.91978,0.66984,0.89834,0.73536,0.01644,0.00119551,0.00119551,0.00119551
46,5047.63,1.15702,0.76215,0.01152,0.85907,0.87892,0.92861,0.66641,1.00748,0.77542,0.01979,0.00116487,0.00116487,0.00116487
47,5153.9,1.06499,0.71599,0.01199,0.88069,0.88565,0.94095,0.6853,0.90442,0.77556,0.0167,0.00113408,0.00113408,0.00113408
48,5261.53,1.1029,0.74292,0.01245,0.90495,0.85426,0.93719,0.70371,0.91432,0.71089,0.01803,0.00110317,0.00110317,0.00110317
49,5369.37,1.03376,0.70952,0.01115,0.89436,0.86099,0.93673,0.6969,0.86254,0.65603,0.01627,0.00107216,0.00107216,0.00107216
50,5475.79,1.00577,0.72062,0.01084,0.88076,0.8296,0.89987,0.67039,0.86316,0.80149,0.0149,0.0010411,0.0010411,0.0010411
51,5583.79,1.03015,0.67178,0.0103,0.84012,0.85202,0.88516,0.65599,0.93811,0.92315,0.0175,0.00101,0.00101,0.00101
52,5691.69,1.01439,0.73493,0.01105,0.86546,0.83652,0.90892,0.66684,0.97726,0.81706,0.01915,0.000978903,0.000978903,0.000978903
53,5799.29,1.03276,0.70872,0.01141,0.86886,0.88117,0.92757,0.68594,0.81618,0.67484,0.0139,0.000947837,0.000947837,0.000947837
54,5905.98,0.96364,0.60382,0.00965,0.83523,0.84103,0.90524,0.68062,0.84992,0.71917,0.01569,0.000916833,0.000916833,0.000916833
55,6018.87,1.01236,0.68289,0.0099,0.87135,0.87444,0.9321,0.70504,0.88081,0.76154,0.01626,0.00088592,0.00088592,0.00088592
56,6127.71,0.98778,0.70417,0.01215,0.87878,0.86771,0.93345,0.7,0.87639,0.84493,0.01802,0.00085513,0.00085513,0.00085513
57,6248.4,1.04209,0.66986,0.01104,0.87422,0.86099,0.92379,0.68139,0.84452,0.75882,0.01475,0.000824492,0.000824492,0.000824492
58,6368.9,1.0727,0.80698,0.01244,0.83299,0.84753,0.89892,0.6683,0.80907,0.81451,0.01347,0.000794038,0.000794038,0.000794038
59,6488.1,1.01573,0.69849,0.01023,0.86105,0.83184,0.90455,0.67436,0.8777,0.82938,0.01563,0.000763797,0.000763797,0.000763797
60,6594.97,1.00972,0.7073,0.00952,0.85238,0.81839,0.88128,0.66826,0.88555,0.86142,0.01604,0.000733799,0.000733799,0.000733799
61,6702.43,0.98814,0.65766,0.00996,0.89244,0.85426,0.92451,0.70124,0.89595,0.76252,0.01796,0.000704073,0.000704073,0.000704073
62,6810.13,1.01133,0.65432,0.01054,0.89811,0.86957,0.94191,0.71791,0.82774,0.70608,0.016,0.000674649,0.000674649,0.000674649
63,6916.59,0.97406,0.59073,0.00967,0.88209,0.88898,0.94404,0.72222,0.83603,0.66833,0.01515,0.000645557,0.000645557,0.000645557
64,7023.68,0.93461,0.5882,0.00991,0.91395,0.85735,0.9443,0.72832,0.78959,0.61373,0.01525,0.000616824,0.000616824,0.000616824
65,7133.93,0.93112,0.65872,0.01026,0.88334,0.86585,0.941,0.7202,0.84152,0.60648,0.01588,0.000588479,0.000588479,0.000588479
66,7241.13,0.92758,0.6086,0.00968,0.89773,0.84629,0.92175,0.69439,0.85754,0.83748,0.01569,0.000560549,0.000560549,0.000560549
67,7347.4,0.89908,0.60931,0.00905,0.87253,0.87478,0.91516,0.69081,0.83618,0.92828,0.01536,0.000533064,0.000533064,0.000533064
68,7454.71,1.00435,0.62579,0.01033,0.89032,0.8736,0.92917,0.70942,0.82041,0.7628,0.01465,0.000506049,0.000506049,0.000506049
69,7561.81,0.88277,0.54268,0.00809,0.91766,0.8565,0.92536,0.71479,0.82599,0.78087,0.01635,0.000479531,0.000479531,0.000479531
70,7669.05,0.93471,0.59412,0.00991,0.91006,0.8565,0.9269,0.70148,0.8288,0.76404,0.01614,0.000453537,0.000453537,0.000453537
71,7780.35,0.93884,0.58482,0.00873,0.90781,0.8611,0.9204,0.70409,0.83562,0.80902,0.01624,0.000428093,0.000428093,0.000428093
72,7887.93,0.91807,0.59038,0.00915,0.89378,0.8722,0.91515,0.70564,0.84159,0.81363,0.01551,0.000403222,0.000403222,0.000403222
73,7995.38,0.93664,0.59012,0.00909,0.89237,0.86547,0.91548,0.71434,0.78928,0.86843,0.01332,0.00037895,0.00037895,0.00037895
74,8103.62,0.8877,0.55605,0.00855,0.8592,0.86198,0.91307,0.70838,0.79009,0.82914,0.01339,0.000355301,0.000355301,0.000355301
75,8214.59,0.91523,0.56879,0.00861,0.9035,0.83974,0.91333,0.69138,0.86889,0.77925,0.01584,0.000332298,0.000332298,0.000332298
76,8321.8,0.93258,0.55223,0.00914,0.86374,0.86702,0.90707,0.69784,0.84754,0.75952,0.0152,0.000309964,0.000309964,0.000309964
